title,company_name,location,start_date,duration,stipend,ppo,workmode,region,domain,skills,deadline,degree
Customer Sales & Operations,WedMeGood,Mumbai,Immediately,3,10000,Yes,Remote,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",16-11-25,MBA
Business Development (Sales),Brainhunter Recruiting India Private Limited,Mumbai,Immediately,3,5000,No,Onsite,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",08-10-25,MCA
Business Development (Sales),ReavR LLP,Work From Home,Immediately,3,5000,Yes,Onsite,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",04-10-25,BSc
Business Support Assistance,"Bahria Consulting (Doncaster, United Kingdom)",Work From Home,Immediately,3,20000,Yes,Hybrid,Urban,Marketing,"Sales, Communication, Negotiation, Lead Generation",17-10-25,BBA
Agriculture & Food Engineering,Way2Agribusiness India Private Limited,Bangalore,Immediately,3,7000,Yes,Hybrid,Urban,Research,"Communication, MS Excel, Research",27-11-25,MBA
Flutter Development,Cling Multi Solutions Private Limited,Work From Home,Immediately,3,3000,No,Remote,Rural,App Development,"Mobile App Development, Java/Kotlin, Flutter/React Native, APIs",03-12-25,MCA
Online Tutoring For Recorded Classes,Hikewise,Work From Home,Immediately,3,10000,No,Remote,Rural,HR,"Teaching, Lesson Planning, Communication, Mentoring",06-11-25,MCom
Commerce And Management Subject Matter Expert,Hikewise,Work From Home,Immediately,3,10000,No,Onsite,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",20-11-25,BBA
Statistics Tutoring For Recorded Classes,Hikewise,Work From Home,Immediately,3,12000,Yes,Onsite,Urban,Research & Strategy,"Teaching, Lesson Planning, Communication, Mentoring, Statistics, Data Analysis",20-09-25,BCom
Social Media Marketing,Ignitic Ideas Private Limited,Thane,Immediately,3,6000,No,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",10-10-25,MBA
Social Media Marketing,Lead Factory,Work From Home,Immediately,3,10000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",21-11-25,MA
Digital Marketing,RevinTech,Chennai,Immediately,3,5000,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",21-10-25,MBA
Client Servicing,Next Labs,Mumbai,Immediately,3,10000,Yes,Onsite,Rural,Research,"Communication, MS Excel, Research",13-11-25,MCom
Online Tutoring For CUET,Hikewise,Work From Home,Immediately,2,15000,No,Hybrid,Rural,HR,"Teaching, Lesson Planning, Communication, Mentoring",22-11-25,MCom
Business Development (Sales),YOBOH,Work From Home,Immediately,2,1000,No,Remote,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",17-09-25,BSc
Law/Legal,LAWyersClubIndia,Work From Home,Immediately,2,1000,No,Onsite,Rural,Legal & Compliance,"Legal Research, Compliance, Drafting, Documentation",26-11-25,MTech
Operations,Next Labs,Mumbai,Immediately,2,10000,Yes,Hybrid,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",09-10-25,MCom
Full Stack Development,Heliverse,Work From Home,Immediately,2,15000,No,Onsite,Urban,Marketing,"Sales, Communication, Negotiation, Lead Generation",20-09-25,BTech
Online Tutoring For Commerce (PG),Hikewise,Work From Home,Immediately,2,15000,No,Onsite,Rural,Data Scientist,"Teaching, Lesson Planning, Communication, Mentoring",02-11-25,MCom
Operations,"Anuj Kalani & Associates, Chartered Accountants",Gurgaon,Immediately,2,10000,No,Onsite,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",02-10-25,BCom
Online Tutoring For Statistics,Hikewise,Work From Home,Immediately,2,15000,Yes,Onsite,Urban,Research & Strategy,"Teaching, Lesson Planning, Communication, Mentoring, Statistics, Data Analysis",26-09-25,BCom
Video Editing,AdRocks,Work From Home,Immediately,2,2500,No,Hybrid,Rural,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",03-11-25,MBA
Online Tutoring For Physics Chemistry And Mathematics,Hikewise,Work From Home,Immediately,2,15000,Yes,Onsite,Rural,Research,"Teaching, Lesson Planning, Communication, Mentoring",08-11-25,MBA
Flutter Development,Blackcoffer,Work From Home,Immediately,2,5000,No,Hybrid,Rural,App Development,"Mobile App Development, Java/Kotlin, Flutter/React Native, APIs",30-10-25,BCA
Media & Public Relations (PR),Simran Khatri,Work From Home,Immediately,2,3000,Yes,Hybrid,Urban,Content Writing,"PR Strategy, Media Relations, Communication, Writing",20-09-25,MBA
Policy Research,Plants Kharido (OPC) Private Limited,Delhi,Immediately,2,5000,No,Hybrid,Rural,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking",13-10-25,MBA
Business Development (Sales),Petsie,Delhi,Immediately,2,7500,Yes,Remote,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",19-10-25,MCA
Music Creation/Composing,FreePNGImg,Work From Home,Immediately,2,5000,Yes,Remote,Urban,Research,"Communication, MS Excel, Research",17-11-25,BCom
Business Development (Sales),Ankita Aggarwal,Work From Home,Immediately,2,1000,Yes,Onsite,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",29-09-25,MTech
Blender 3D Animation,Warpan Games,Work From Home,Immediately,2,5000,Yes,Hybrid,Rural,Research,"Communication, MS Excel, Research",06-12-25,MCom
Content Writing,Webkeydigital,Indore,Immediately,2,12000,No,Remote,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",26-09-25,MSc
Online Tutoring For Journalism,Hikewise,Work From Home,Immediately,2,15000,Yes,Hybrid,Rural,Research,"Teaching, Lesson Planning, Communication, Mentoring",01-12-25,MCom
Laravel Development,Aone Software,Work From Home,Immediately,2,2000,Yes,Hybrid,Urban,Marketing,"Sales, Communication, Negotiation, Lead Generation",11-09-25,BSc
Online Tutoring (Economics),Hikewise,Work From Home,Immediately,2,15000,No,Onsite,Urban,Research & Strategy,"Teaching, Lesson Planning, Communication, Mentoring, Economics, Data Analysis",18-11-25,BCom
Social Media Marketing,Aphrodite Wellness LLP,Work From Home,Immediately,2,5000,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",06-10-25,BA
Site Engineering (Civil),Zumosun Soft Invention Private Limited,Jaipur,Immediately,2,8000,No,Remote,Rural,Research,"Communication, MS Excel, Research",01-10-25,BCom
Recruitment,Zenith Staffing,Delhi,Immediately,2,10000,Yes,Remote,Urban,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",04-10-25,MA
IO Psychology,Unberry,Gurgaon,Immediately,2,20000,Yes,Onsite,Urban,Research,"Communication, MS Excel, Research",19-09-25,MCom
Web Development,ESC INDIA,Delhi,Immediately,2,13000,Yes,Hybrid,Rural,Web Development,"HTML, CSS, JavaScript, React",11-10-25,MCA
Full Stack Development,Zeppstr,Bangalore,Immediately,2,5000,Yes,Hybrid,Urban,Marketing,"Sales, Communication, Negotiation, Lead Generation",18-10-25,MCA
Online Tutoring For Social Work,Hikewise,Work From Home,Immediately,2,15000,No,Remote,Rural,Finance,"Teaching, Lesson Planning, Communication, Mentoring",01-12-25,BBA
Subject Matter Expert (Organic Chemistry),Himanshi Sharma,Work From Home,Immediately,2,5000,No,Onsite,Rural,Research,"Communication, MS Excel, Research",18-11-25,BBA
Subject Matter Expert (Anatomy And Physiology),Himanshi Sharma,Work From Home,Immediately,2,5000,No,Onsite,Urban,Research,"Communication, MS Excel, Research",04-11-25,MCom
Recruitment,Medforage,Hyderabad,Immediately,2,5000,Yes,Onsite,Rural,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",16-11-25,BA
Digital Marketing,Arch Vantage,Delhi,Immediately,2,8000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",05-11-25,MA
UPSC Proofreading,Lawtech,Work From Home,Immediately,2,6000,No,Hybrid,Urban,Content Writing,"PR Strategy, Media Relations, Communication, Writing",28-11-25,BCom
Graphic Design,Mariox Software Private Limited,Work From Home,Immediately,2,10000,No,Onsite,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",13-10-25,BCom
Talent Acquisition,Pinnacle Management Consultant,Pune,Immediately,2,5000,No,Onsite,Rural,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",21-11-25,MBA
Content Writing,TechWhoop,Work From Home,Immediately,2,3000,Yes,Remote,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",02-10-25,MTech
Digital Marketing,ITSBHM Group,Ludhiana,Immediately,2,2000,Yes,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",13-11-25,BA
E-commerce Executive,REOUTLOOK,Ahmedabad,Immediately,2,10000,No,Hybrid,Rural,Marketing,"E-commerce Management, Product Listing, SEO, Digital Marketing",21-11-25,MA
Data Entry,Qriocity Ventures Private Limited,Work From Home,Immediately,2,10000,No,Hybrid,Urban,Data Science,"Communication, MS Excel, Research",04-10-25,MCom
Machine Learning,Qriocity Ventures Private Limited,Work From Home,Immediately,2,15000,No,Onsite,Urban,Research & Strategy,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis",07-11-25,MSc
Data Science,Qriocity Ventures Private Limited,Work From Home,Immediately,2,20000,No,Onsite,Rural,Research & Strategy,"Python, Data Analysis, SQL, Statistics, Data Visualization",24-10-25,MSc
Management Trainee,Asia Pacific Commercial International,Jaipur,Immediately,2,10000,No,Remote,Rural,Research & Strategy,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis, Communication, MS Excel",19-10-25,BTech
Management Trainee,Viprom Technologies LLP,Work From Home,Immediately,2,2000,Yes,Hybrid,Urban,Research & Strategy,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis, Communication, MS Excel",07-12-25,BCA
Business Development (Sales),Big Tree Resource Management Private Limited,Gurgaon,Immediately,2,10000,Yes,Remote,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",21-10-25,MTech
Digital Marketing,Adxventure LLP,Work From Home,Immediately,2,2500,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",05-10-25,MBA
Full Stack Development,Filosha Infotech Private Limited,Bangalore,Immediately,2,12000,Yes,Onsite,Rural,Marketing,"Sales, Communication, Negotiation, Lead Generation",24-09-25,BCA
Marketing,Indo Infrastructures,Delhi,Immediately,2,10000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",20-10-25,MA
Marketing & Sales,Khushii,Delhi,Immediately,2,10000,Yes,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Sales, Lead Generation",03-11-25,BA
Social Media Content Writing,Kalataru,Work From Home,Immediately,2,3000,No,Remote,Urban,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management, Content Writing, Editing",02-10-25,BA
Operations & Quality Assurance,JobBox,Work From Home,Immediately,2," 1,000 /week",No,Onsite,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",23-11-25,BBA
Business Development (Sales),Poddar Enterprises,Gandhidham,Immediately,2,9000,No,Onsite,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",18-09-25,BSc
Law/Legal,Zen Legal LLP,Mumbai,Immediately,2,2500,Yes,Remote,Urban,Legal & Compliance,"Legal Research, Compliance, Drafting, Documentation",25-10-25,MTech
Photoshop Editing,Airaavata Jewelry House,Bangalore,Immediately,2,10000,Yes,Onsite,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",08-10-25,BCom
Human Resources (HR),Ecommerce Ventures,Hyderabad,Immediately,2,8000,No,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",17-11-25,MCom
Primary Research,RedSeer Management Consulting,Work From Home,Immediately,2,10000,No,Hybrid,Rural,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking, PR Strategy, Media Relations",12-11-25,MCom
Digital Marketing,SEGEL INDIA PRIVATE LIMITED,Delhi,Immediately,2,5000,No,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",07-11-25,BA
Media Sales,PixelizeAds,Delhi,Immediately,2,6000,Yes,Remote,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",22-10-25,BCom
Finance & Accounting,Loom Solar Private Limited,Faridabad,Immediately,2,8000,Yes,Remote,Urban,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",01-12-25,MBA
Video Making/Editing,Big Faction Consultancy Private Limited,Bangalore,Immediately,2,2500,No,Remote,Rural,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",20-11-25,MA
Digital Marketing,Smiling Success Enterprises Private Limited,Delhi,Immediately,2,8000,Yes,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",28-09-25,MBA
Human Resources (HR),Credit Wise Capital Private Limited,Mumbai,Immediately,2,5000,No,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",06-10-25,BBA
Accounting & Tally,BubbleNut Wash,Bangalore,Immediately,2,15000,No,Hybrid,Rural,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",23-10-25,BCom
Project Executive,Green Stapler,Mumbai,Immediately,2,12000,No,Remote,Rural,Content Writing,"PR Strategy, Media Relations, Communication, Writing",01-11-25,MBA
Video Making/Editing,Possible,Bangalore,Immediately,2,10000,Yes,Hybrid,Urban,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",07-10-25,MBA
Fashion Design,TA Whitebrands,Gurgaon,Immediately,2,20000,No,Remote,Rural,Architecture & Design,"Design, Creativity, Sketching, CAD (basic)",01-11-25,MBA
Back-office Operation,WOODCRAFT EVENTS AND ENTERTAINMENT,Mumbai,Immediately,2,12000,Yes,Hybrid,Urban,Research,"Communication, MS Excel, Research",04-10-25,MBA
Media & Public Relations (PR),ShopClues,Gurgaon,Immediately,2,12000,No,Remote,Rural,Content Writing,"PR Strategy, Media Relations, Communication, Writing",06-11-25,BCom
Search Engine Optimization (SEO),Shreya Goswami,Work From Home,Immediately,2,5000,Yes,Remote,Rural,Search & Performance Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",09-11-25,BA
Human Resources (HR),Valkyrie People Consulting,Work From Home,Immediately,2,7000,Yes,Hybrid,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",25-10-25,MBA
Content Writing,Whyral Media,Work From Home,Immediately,2,24000,Yes,Remote,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",06-12-25,PhD
Graphic Design,DIVINE WEB SOLUTION,Delhi,Immediately,2,10000,No,Onsite,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",15-09-25,MBA
Company Secretary (CS),Analah Capital,Mumbai,Immediately,2,15000,Yes,Onsite,Rural,Research,"Communication, MS Excel, Research",02-11-25,MBA
Policy Research,Mumbai First,Mumbai,Immediately,2,3000,No,Onsite,Rural,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking",01-11-25,MBA
Marketing,GMN Roadshows & Events,Gurgaon,Immediately,2,18000,Yes,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",22-10-25,BBA
Sales And Marketing,Gin.ed,Bangalore,Immediately,2,15000,Yes,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Sales, Lead Generation",11-11-25,BBA
Content Creator,FAAST,Bangalore,Immediately,2,10000,No,Onsite,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",26-10-25,MSc
News Writing,Chetan Yedve,Work From Home,Immediately,2,5000,Yes,Onsite,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",07-10-25,MTech
Chartered Accountancy (CA),NurseMe Cares India Private Limited,Hyderabad,Immediately,2,10000,Yes,Remote,Urban,Research,"Communication, MS Excel, Research",24-11-25,BCom
Graphic Design - Marketing Agency,Mediqueue,Work From Home,Immediately,2,3000,Yes,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Graphic Design, Photoshop",30-10-25,MBA
Technical Content Writing,Skuad Lab India Private Limited,Work From Home,Immediately,2,10000,No,Onsite,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",15-10-25,BCom
Search Engine Optimization (SEO),Task Robots,Jaipur,Immediately,6,5000,Yes,Onsite,Urban,Search & Performance Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",17-11-25,BBA
Mechanical Engineering,Kenmark Tech Solutions,Mumbai,Immediately,6,7000,Yes,Hybrid,Rural,Research,"Communication, MS Excel, Research",26-11-25,MBA
Graphic Design,Masti Matic Fashion Ocean,Work From Home,Immediately,6,2000,Yes,Remote,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",21-10-25,BBA
Business Development (Sales),Infi Window System,Noida,Immediately,6,12000,Yes,Hybrid,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",04-11-25,MTech
Database Building/Management,Curated Tales Private Limited,Work From Home,Immediately,6,2500,Yes,Onsite,Urban,Data Science,"SQL, Databases, Data Modeling, ETL, UI Design, UX Research",19-10-25,PhD
Volunteering,Kshitiksha Foundation,Work From Home,Immediately,6,Unpaid,Yes,Onsite,Rural,Research,"Communication, MS Excel, Research",23-11-25,BCom
Social Media Marketing,WebxInfinity IT Solutions,Bangalore,Immediately,6,2000,Yes,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",19-09-25,BA
Social Media Marketing,Kshitiksha Foundation,Work From Home,Immediately,6,Unpaid,Yes,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",02-11-25,BA
Accounting & Tally,Puneet Arora,Delhi,Immediately,6,2000,Yes,Onsite,Urban,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",29-10-25,BCom
Business Development (Sales),Mayadeep Hotels & Resorts,Work From Home,Immediately,6,10000,Yes,Remote,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",05-10-25,BSc
Web Development,Lawtech,Work From Home,Immediately,6,10000,Yes,Hybrid,Rural,Web Development,"HTML, CSS, JavaScript, React",15-10-25,BCA
SEO Content,Mariox Software Private Limited,Work From Home,Immediately,6,20000,No,Hybrid,Rural,Content & Communication,"SEO, Keyword Research, Google Analytics, Content Optimization, Content Writing, Editing",15-09-25,MBA
Digital Marketing,Modifyed Digital,Noida,Immediately,6,5000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",28-10-25,MBA
Research Analyst,Virtue Market Research,Work From Home,Immediately,6,5000,No,Remote,Rural,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking",17-10-25,MCom
UI/UX Figma Design,EdSlash,Work From Home,Immediately,6,1000,No,Onsite,Urban,Design,"UI Design, UX Research, Figma, Prototyping",09-10-25,MBA
Search Engine Optimization (SEO),Sargamstaan,Delhi,Immediately,6,2000,No,Remote,Rural,Search & Performance Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",05-11-25,BBA
Social Media Marketing,Sagar Kari,Mumbai,Immediately,6,5000,No,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",23-10-25,MBA
Content Writing,Digital Estate,Delhi,Immediately,6,8000,No,Remote,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",11-09-25,MSc
Search Engine Optimization (SEO),Cyberbizz Technologies,Noida,Immediately,6,3000,Yes,Remote,Urban,Search & Performance Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",24-11-25,BA
Graphic Design,Techgrah Consulting,Lucknow,Immediately,6,6000,No,Hybrid,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",13-10-25,MBA
Social Media Marketing,Helpee,Chennai,Immediately,6,5000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",22-11-25,BBA
Product Research,M Vijay Raghavan,Work From Home,Immediately,6,5000,Yes,Remote,Urban,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking, PR Strategy, Media Relations",07-10-25,MBA
Recruitment,Aviation Indeed,Gurgaon,Immediately,6,5000,Yes,Hybrid,Rural,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",18-10-25,MA
Social Media,UnHR,Delhi,Immediately,6,10000,Yes,Onsite,Urban,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management",17-09-25,BBA
Human Resources (HR),Executive Search,Delhi,Immediately,6,10000,Yes,Hybrid,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",05-10-25,MBA
Lead Generation,Vicolo Innovations,Work From Home,Immediately,6,1000,Yes,Hybrid,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",13-11-25,BCom
Marketing,Blacktix Technology,Pune,Immediately,6,10000,No,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",04-11-25,BA
Android App Figma Development,Anurag Pathak,Work From Home,Immediately,6,1000,Yes,Hybrid,Urban,App Development,"UI Design, UX Research, Figma, Prototyping, Mobile App Development, Java/Kotlin",14-11-25,MTech
Business Development (Sales),OCTIOT - IPREALM Technologies Private Limited,Noida,Immediately,6,5000,No,Hybrid,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",10-10-25,BTech
Doubt Solving (Physics),Kunduz Incorporation,Work From Home,Immediately,6,5000,Yes,Onsite,Urban,Research,"Communication, MS Excel, Research",05-11-25,MBA
Digital Marketing,Bag Factory,Work From Home,Immediately,6,5000,No,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",21-10-25,MA
MIS,The Hiring Company,Lucknow,Immediately,6,15000,Yes,Hybrid,Urban,Research,"Communication, MS Excel, Research",24-10-25,MCom
Technical And Fundamental Analysis (Capital Market),B B Advisory,Work From Home,Immediately,6,2000,Yes,Onsite,Rural,Data Science,"Node.js, APIs, Databases, Server-side Development",17-09-25,MTech
Digital Marketing,Akshar School Solutions Private Limited,Hyderabad,Immediately,6,8000,Yes,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",14-09-25,BA
Digital Marketing,Tricon Builders,Work From Home,Immediately,6," 1,000 /week",No,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",18-09-25,MA
3D Artist,3D Spot,Work From Home,Immediately,6,10000,Yes,Remote,Rural,Research,"Communication, MS Excel, Research",17-10-25,MCom
HR Coordination,Talent500,Hyderabad,Immediately,6,25000,No,Hybrid,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",30-11-25,BBA
Graphic Design,Sukirana Studios,Bangalore,Immediately,6,5000,Yes,Remote,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",27-09-25,MCom
Sales -Workplace Wellness,YourDOST Health Solutions,Noida,Immediately,6,10000,No,Onsite,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",06-12-25,BCom
Social Media Marketing (Dating App Start-up),Baybel,Work From Home,Immediately,6,10000,No,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",20-11-25,MBA
Education Enrichment,Aryabhanu,Work From Home,Immediately,2,2000,Yes,Onsite,Urban,Research,"Communication, MS Excel, Research",15-10-25,MBA
Video Editor & Human Resources,Chamela Helpdia Charitable Trust,Work From Home,Immediately,2,Unpaid,No,Onsite,Rural,Human Resources,"Video Editing, Videography, Premiere Pro, After Effects, Recruitment, Talent Acquisition",12-10-25,BA
Digital Marketing,NKTech,Ghaziabad,Immediately,2,5000,Yes,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",19-09-25,BBA
Sales & Marketing,PrepCAT,Work From Home,Immediately,2,10000,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Sales, Lead Generation",23-10-25,MA
Software Development,Low Code Systems Software Private Limited,Pune,Immediately,2,2000,No,Onsite,Urban,Marketing,"Sales, Communication, Negotiation, Lead Generation",03-10-25,MCA
IT Recruitment,Payyapps Consulting Services Private Limited,Bangalore,Immediately,2,15000,No,Hybrid,Urban,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",06-11-25,MA
Human Resources (HR),Eduonix Learning Solutions Private Limited,Navi Mumbai,Immediately,2,7000,No,Remote,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",14-11-25,MCom
Digital Marketing,ALOA,Work From Home,Immediately,2,2000,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",23-10-25,MBA
Social Media Marketing,Style Junkiie,Mumbai,Immediately,2,10000,Yes,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",19-09-25,BBA
Library Science,Scientific Impulse,Work From Home,Immediately,2,Unpaid,No,Remote,Urban,Research,"Communication, MS Excel, Research",29-09-25,BCom
Business Development / Enterprise Sales,Hawktech Advance Solutions,Noida,Immediately,2,5000,No,Remote,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication, PR Strategy, Media Relations",06-10-25,BCA
Digital Marketing,Protech Planner,Noida,Immediately,2,2000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",29-11-25,BBA
Search Engine Optimization (SEO),Tech World Digital Solution,Noida,Immediately,2,5000,No,Remote,Rural,Search & Performance Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",02-10-25,BA
Video Making/Editing,Sarayu Foundation Trust,Delhi,Immediately,2,6000,No,Remote,Urban,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",13-10-25,MA
Event Management,Dental Window,Mumbai,Immediately,2,5000,No,Remote,Urban,Operations & Support,"Event Planning, Coordination, Communication, PR",22-09-25,MCom
Assistant Photographer,Siddhant Avhad,Mumbai,Immediately,2,2000,Yes,Hybrid,Urban,Media & Entertainment,"Photography, Lightroom, Photoshop, Editing",31-10-25,MCA
Android App Development,HudZin,Mumbai,Immediately,2,10000,Yes,Remote,Urban,App Development,"Mobile App Development, Java/Kotlin, Flutter/React Native, APIs",29-11-25,MSc
Creative Brand Associate,Destiny | Destini.ai,Hyderabad,Immediately,2,5000,Yes,Onsite,Urban,Research,"Communication, MS Excel, Research",11-09-25,BCom
Marketing,Klove Studio,South,Immediately,2,15000,Yes,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",07-11-25,MA
Digital Marketing,United Innovation Hub,Work From Home,Immediately,2,5000,Yes,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",11-10-25,BBA
Event Management,Exemplary Food Services Private Limited,Bangalore,Immediately,2,3000,Yes,Remote,Urban,Operations & Support,"Event Planning, Coordination, Communication, PR",15-09-25,MBA
Theatre Assistance - Teaching And Production,Theatre & â€˜Uâ€™,Delhi,Immediately,2,2000,Yes,Onsite,Rural,Data Analyst,"Teaching, Lesson Planning, Communication, Mentoring, PR Strategy, Media Relations",20-11-25,MBA
