title,company_name,location,start_date,duration,stipend,ppo,work_mode,region,domain,skills,deadline,degree
Java Development,FynTune Solution Private Limited,Navi Mumbai,Immediately,3,15000,No,Hybrid,Urban,Software Development,"Project Management, Data Analysis, Machine Learning",12-09-25,BSc
Credit Analytics,Ambient Consultancy,Mumbai,Immediately,3,10000,Yes,Hybrid,Urban,HR,"Communication, C++, Digital Marketing, SQL, Data Analysis",02-12-25,MTech
Trainer (Teaching VLSI Front-end Designing Or VLSI Back-end Designing Course),SURE Trust,Work From Home,Immediately,3,Unpaid,No,Onsite,Urban,Marketing,"Communication, HTML/CSS, C++, Digital Marketing, Excel",07-12-25,PhD
Fundraising/Crowdfunding,NayePankh Foundation,Work From Home,Immediately,3,Unpaid,No,Hybrid,Urban,Data Scientist,"Python, Communication, SQL",17-10-25,BTech
Psychology ( Marketing),HappiMynd,Work From Home,Immediately,3,1000,Yes,Hybrid,Rural,Data Scientist,"Data Analysis, SQL, Project Management",07-10-25,MCA
Event Management,Tech Analogy,Work From Home,Immediately,3,1000,Yes,Hybrid,Urban,HR,"Python, HTML/CSS, Digital Marketing, Project Management",14-09-25,PhD
Graphic Design,Creatiwise,Work From Home,Immediately,6,15000,No,Hybrid,Rural,HR,"Machine Learning, Digital Marketing, Communication, Project Management",02-11-25,BTech
Product Management,HappiMynd,Work From Home,Immediately,6,1000,Yes,Remote,Urban,HR,"Machine Learning, Data Analysis, Project Management",14-11-25,MBA
Graphic Design,Creatiwise,Work From Home,Immediately,6,15000,Yes,Hybrid,Rural,Data Scientist,"Digital Marketing, Excel, Data Analysis, Machine Learning, Java",04-12-25,BSc
Social Work,NayePankh Foundation,Work From Home,Immediately,6,Unpaid,No,Remote,Urban,HR,"Data Analysis, Machine Learning, SQL, Java",17-11-25,PhD
IPad Art,Lawtech,Work From Home,Immediately,6,8000,No,Onsite,Rural,Research,"Communication, Data Analysis, Excel, Project Management",05-11-25,BTech
Torchbearer Impact Program,HappiMynd,Work From Home,Immediately,6,1000,Yes,Onsite,Rural,Data Analyst,"SQL, Project Management, Data Analysis, Excel",15-10-25,BCA
Technical Architecture,"EmendoAI (San Francisco, United States)",Work From Home,Immediately,6,10000,Yes,Hybrid,Rural,Finance,"C++, SQL, Data Analysis, Java",05-12-25,PhD
Social Impact Leading,HappiMynd,Work From Home,Immediately,6,1000,No,Remote,Urban,Data Analyst,"HTML/CSS, Python, Communication, Java",10-10-25,MTech
Social Sector Operations,NayePankh Foundation,Work From Home,Immediately,6,Unpaid,No,Onsite,Rural,HR,"Digital Marketing, Machine Learning, Java, Communication, C++",17-10-25,MCA
Product Marketing,Wayspire Ed-Tech Private Limited,Work From Home,Immediately,6,1000,No,Remote,Rural,Research,"Data Analysis, SQL, Python, Communication, Project Management",24-09-25,MBA
Sales And Marketing,"Manjita Osta (Melbourne Airport, Australia)",Work From Home,Immediately,6,10000,Yes,Remote,Rural,Design,"SQL, Python, HTML/CSS, Java, Excel",27-10-25,BCA
Subject Matter Expert (Physics) Live Doubts,Solvitude,Work From Home,Immediately,6,4000,Yes,Hybrid,Rural,Marketing,"SQL, Digital Marketing, HTML/CSS, C++",08-10-25,BCA
Digital Marketing (Email Marketing),Lawtech,Work From Home,Immediately,6,5000,No,Remote,Rural,Data Analyst,"Excel, HTML/CSS, Project Management, Communication",17-10-25,MCA
Sales (Tele-marketing),Lawtech,Work From Home,Immediately,6,10000,Yes,Onsite,Urban,Software Development,"Project Management, Python, Digital Marketing, HTML/CSS",11-09-25,MCA
UI/UX Design,"EmendoAI (San Francisco, United States)",Work From Home,Immediately,6,10000,No,Onsite,Urban,Software Development,"Java, SQL, Project Management",01-11-25,MTech
Product Management,"EmendoAI (San Francisco, United States)",Work From Home,Immediately,6,10000,Yes,Onsite,Urban,Research,"Digital Marketing, Excel, C++, Machine Learning",28-10-25,BCA
Android App Development,"Powerhouse AI (Singapore, Singapore)",Work From Home,Not specified,6,10000,No,Hybrid,Urban,Finance,"Project Management, Communication, Python, Digital Marketing, Excel",27-09-25,MCA
Ruby On Rails Development,Makerble,Work From Home,Immediately,6,15000,Yes,Onsite,Urban,HR,"C++, Data Analysis, Machine Learning, Digital Marketing, Communication",10-09-25,BCA
Physics Content Writing,HaZZten,Work From Home,Immediately,6,5000,No,Hybrid,Urban,Finance,"Python, C++, Machine Learning",23-10-25,BTech
Subject Matter Expert (Chemistry) Live Doubt,Solvitude,Work From Home,Immediately,6,4000,Yes,Remote,Rural,Marketing,"SQL, Java, HTML/CSS, Communication",21-10-25,MTech
Content Writing (Chemistry),HaZZten,Work From Home,Immediately,6,5000,No,Hybrid,Urban,Research,"Digital Marketing, Excel, Data Analysis, Java, HTML/CSS",26-10-25,MTech
AWS DevOps Engineering,"EmendoAI (San Francisco, United States)",Work From Home,Immediately,6,10000,No,Hybrid,Rural,Design,"SQL, Machine Learning, Digital Marketing",13-09-25,MCA
Human Resources (HR),Aelum Consulting,Jaipur,Immediately,6,10000,Yes,Remote,Urban,Marketing,"C++, Excel, Project Management, Digital Marketing, Java",25-09-25,MBA
Market Research (Fashion),Artyvis Technologies Private Limited,Work From Home,Immediately,6,10000,Yes,Hybrid,Urban,Data Analyst,"Machine Learning, Digital Marketing, Python, Excel, C++",03-11-25,BTech
Product Management,NightOwl,Work From Home,Immediately,6,15000,No,Remote,Rural,Data Analyst,"Excel, Python, Digital Marketing",28-11-25,MTech
Angular.js Development,Heliverse,Work From Home,Immediately,6,12000,Yes,Hybrid,Rural,Design,"Python, Communication, SQL, Machine Learning",12-11-25,BCA
Business Development (Sales),WEB5G TECHNOLOGY PRIVATE LIMITED,Ghaziabad,Immediately,6,12000,No,Hybrid,Urban,Finance,"Excel, Communication, C++, Java",12-11-25,MTech
Social Media Marketing,Shubham Varshney,Hapur,Immediately,6,2000,No,Onsite,Rural,Finance,"SQL, Digital Marketing, Data Analysis",04-12-25,MBA
Marketing,Skylark Overseas Education,Visakhapatnam,Immediately,6,8000,No,Remote,Rural,Design,"SQL, Python, Project Management, HTML/CSS",27-10-25,BTech
Sales And Marketing,The Audio World,Jaipur,Immediately,6,5000,Yes,Hybrid,Urban,Marketing,"Machine Learning, Project Management, Digital Marketing, HTML/CSS, Excel",15-09-25,BCA
Video Making/Editing,Shubham Varshney,Hapur,Immediately,6,5000,No,Hybrid,Rural,Finance,"C++, SQL, Digital Marketing",18-09-25,BTech
Electrical Engineering,Toshniwal Industries Private Limited,Ajmer,Immediately,6,4000,No,Hybrid,Urban,Data Scientist,"Project Management, Data Analysis, Python",03-12-25,BTech
Content Writing,Shubham Varshney,Meerut,Immediately,6,2000,No,Onsite,Urban,Data Analyst,"Communication, Python, SQL, Digital Marketing",23-09-25,PhD
Copywriting,Packin Club,Delhi,Immediately,3,10000,Yes,Remote,Urban,Marketing,"C++, Python, SQL, Java",25-11-25,MTech
Business Development (Sales),GoMechanic,Gurgaon,Immediately,6,10000,No,Hybrid,Rural,Marketing,"Project Management, Java, Python, SQL, HTML/CSS",17-09-25,BSc
Operation,Mariox Software Private Limited,Noida,Immediately,6,30000,No,Hybrid,Rural,Finance,"Machine Learning, HTML/CSS, Data Analysis, Python, Digital Marketing",24-11-25,PhD
Logistics And Operations,GoMechanic,Gurgaon,Immediately,6,10000,Yes,Hybrid,Rural,Data Scientist,"Data Analysis, C++, SQL, Machine Learning, HTML/CSS",01-10-25,MTech
Marketing,GoMechanic,Gurgaon,Immediately,6,10000,No,Remote,Urban,Marketing,"Project Management, SQL, Machine Learning, HTML/CSS, Java",08-11-25,MCA
Business Development (Sales),GoMechanic,Chandigarh,Immediately,6,10000,No,Onsite,Urban,Data Analyst,"Project Management, SQL, Data Analysis",02-10-25,BSc
Business Development (Female),Requin Solutions Private Limited,Jaipur,Immediately,6,10000,No,Onsite,Rural,Finance,"Java, C++, Data Analysis, Communication, SQL",09-10-25,MTech
Human Resources (HR),Webtonic Technologies Private Limited,Navi Mumbai,Immediately,6,5000,No,Onsite,Rural,Research,"HTML/CSS, Excel, Digital Marketing, Machine Learning, C++",29-11-25,MTech
Human Resources (HR),Guruji Astro,Jaipur,Immediately,5,9000,No,Remote,Rural,Data Analyst,"Excel, SQL, Machine Learning, Digital Marketing",29-10-25,PhD
Interior Design,9 Pointers Tech Private Limited,Jaipur,Immediately,5,5000,No,Onsite,Rural,Data Analyst,"Communication, Machine Learning, HTML/CSS",25-10-25,BTech
Graphic Design,Careers360,Gurgaon,Immediately,5,20000,No,Hybrid,Rural,Data Scientist,"HTML/CSS, Communication, C++",17-09-25,BTech
Event Management,Blue Sparrow Science Party,Mumbai,Immediately,5," 1,000 /week",No,Hybrid,Rural,Data Scientist,"SQL, Excel, Python, Communication, Digital Marketing",15-11-25,MBA
Business Development (Sales),Zedex Info Private Limited,Mumbai,Immediately,5,10000,Yes,Remote,Urban,Finance,"C++, Java, HTML/CSS, SQL",05-11-25,BTech
Graphic Design,Pepper Money,Mumbai,Immediately,5,10000,Yes,Onsite,Urban,Data Scientist,"C++, Machine Learning, Excel",25-09-25,PhD
Video Editing,FlexiFunnels,Dehradun,Immediately,5,25000,No,Hybrid,Rural,HR,"Machine Learning, SQL, Python, Digital Marketing, Communication",02-10-25,MCA
Campus Ambassador,EHAM Technologies,Work From Home,Immediately,5,Performance Based,No,Onsite,Rural,Data Scientist,"Data Analysis, C++, Python, HTML/CSS",04-12-25,PhD
Recruitment,Shubham Varshney,Meerut,Immediately,5,2000,No,Remote,Urban,HR,"Machine Learning, Digital Marketing, Data Analysis, Project Management, Java",27-09-25,PhD
Graphic Design,Adbizit,Mumbai,Immediately,5,12000,Yes,Remote,Urban,Marketing,"C++, SQL, Excel",05-12-25,MCA
Social Media Marketing,Akrati Jewels Incorporation,Jaipur,Immediately,5,10000,No,Hybrid,Rural,Software Development,"Digital Marketing, Machine Learning, Communication, Excel",15-10-25,BCA
Social Media Marketing,Limeless Media,Gurgaon,Immediately,5,8000,Yes,Hybrid,Rural,Marketing,"Excel, Python, Communication, SQL",08-10-25,MCA
Business Development (Sales),Internshala,Gurgaon,Immediately,5,18000,No,Remote,Rural,Data Analyst,"Python, Digital Marketing, Data Analysis, Excel, Machine Learning",26-10-25,PhD
Marketing,Cynergi,Mumbai,Immediately,5,5000,Yes,Remote,Rural,Data Analyst,"HTML/CSS, Communication, Excel",25-11-25,BSc
Human Resources (HR),Relinns Technologies,Mohali,Immediately,5,8000,Yes,Onsite,Rural,Marketing,"Project Management, Machine Learning, Java, SQL, Excel",27-11-25,MBA
Personal Assistant,Gigde Global Solutions Private Limited,Ghaziabad,Immediately,5,12000,Yes,Onsite,Urban,Data Scientist,"Excel, Digital Marketing, Java, Python",04-12-25,MBA
Digital Marketing,Akrati Jewels Incorporation,Jaipur,Immediately,5,10000,No,Onsite,Urban,Data Analyst,"Project Management, Machine Learning, Communication, SQL, C++",22-11-25,BSc
CEO Assistant,Gigde Global Solutions Private Limited,Ghaziabad,Immediately,5,12000,Yes,Onsite,Urban,Finance,"Communication, Project Management, Machine Learning, Excel",13-09-25,PhD
Motion Graphics,KathaVersse Media Network Private Limited,Mumbai,Immediately,5,10000,No,Onsite,Urban,Finance,"Python, Machine Learning, Data Analysis",07-11-25,BCA
HR,Wayspire Ed-Tech Private Limited,Gurgaon,Immediately,5,7000,Yes,Onsite,Rural,HR,"SQL, Communication, Project Management, Digital Marketing, Java",24-09-25,BCA
Civil Engineering (Hydraulic/Water Resources),Infraplan Engineering Services Private Limited,Kolhapur,Immediately,5,10000,No,Remote,Rural,Software Development,"Project Management, Machine Learning, Communication, SQL",01-10-25,PhD
Email Marketing,Zeppstr,Bangalore,Immediately,5,6000,Yes,Hybrid,Rural,Marketing,"Communication, Project Management, SQL",26-09-25,MBA
Video Making/Editing,KathaVersse Media Network Private Limited,Mumbai,Immediately,5,10000,No,Remote,Urban,Marketing,"Excel, Python, Digital Marketing, Java",04-12-25,BCA
Social Media,Marcamor Consulting,Hyderabad,Immediately,5,5000,Yes,Hybrid,Rural,Design,"Java, C++, Project Management",20-10-25,BCA
Business Development (Sales),Blue Rose Publishers,Delhi,Immediately,5,22000,No,Hybrid,Urban,Design,"Excel, HTML/CSS, Communication, Machine Learning",07-10-25,BCA
Content Writing,EasyEat AI,Gurgaon,Immediately,5,15000,Yes,Remote,Rural,Software Development,"Java, C++, Python, Data Analysis",19-10-25,MCA
Field Sales,Vitta Chrome India Private Limited,Mumbai,Immediately,5,15000,Yes,Remote,Rural,Marketing,"Python, Java, Excel, Digital Marketing",14-11-25,MTech
Social Media Marketing,Zeppstr,Bangalore,Immediately,5,6000,Yes,Remote,Urban,Finance,"Python, Digital Marketing, Excel",13-10-25,MBA
Sales,ZocoNut,Delhi,Immediately,5,8000,Yes,Onsite,Rural,Software Development,"Excel, Java, Data Analysis, C++",28-09-25,BSc
Operations,Able Jobs,Bangalore,Immediately,5,12000,Yes,Hybrid,Urban,Software Development,"HTML/CSS, C++, Machine Learning, Java, Digital Marketing",28-10-25,BCA
Editorial Assistance,Blue Rose Publishers,Noida,Immediately,5,16000,No,Remote,Urban,HR,"Data Analysis, C++, Communication",02-12-25,MCA
Event Management,Seven Seas Hospitality,Delhi,Immediately,5,5000,No,Onsite,Urban,Software Development,"SQL, HTML/CSS, Excel, Java",07-11-25,BCA
Operations,Able Jobs,Bangalore,Immediately,5,12000,No,Hybrid,Rural,Marketing,"SQL, Java, HTML/CSS, Excel, Project Management",19-11-25,BTech
Video Making/Editing,Zeppstr,Bangalore,Immediately,5,6000,No,Onsite,Rural,HR,"C++, Java, Excel, HTML/CSS",24-10-25,BSc
Marketing,Clipbait Media Private Limited,Bangalore,Immediately,5,7500,Yes,Onsite,Rural,Research,"Python, Data Analysis, Project Management, C++",16-11-25,PhD
Business Development,Marcamor Consulting,Hyderabad,Immediately,5,5000,Yes,Hybrid,Urban,Research,"C++, Data Analysis, Python",01-11-25,BSc
Content Writing,Zeppstr,Bangalore,Immediately,5,10000,Yes,Hybrid,Rural,Finance,"Java, C++, Digital Marketing, HTML/CSS, Data Analysis",07-10-25,MBA
Business Development,Epicminds Information Technology,Bangalore,Immediately,5,10000,No,Remote,Urban,HR,"Project Management, SQL, Python, Excel, C++",01-11-25,BTech
Marketing,SkilloVilla Technologies Private Limited,Bangalore,Immediately,5,15000,No,Onsite,Urban,Finance,"SQL, C++, HTML/CSS",11-11-25,MBA
Operations,Rentkar-Switch To Share,Bangalore,Immediately,5,12000,Yes,Remote,Rural,Data Scientist,"Python, Machine Learning, Communication",16-09-25,MCA
E-commerce Operations,Palk Street,Hyderabad,Immediately,5,12000,No,Remote,Urban,Finance,"HTML/CSS, SQL, Communication, Data Analysis, Project Management",20-09-25,MBA
Influencer Marketing,Flipside Media Works,Mumbai,Immediately,5,10000,No,Remote,Urban,HR,"Java, Python, SQL, Machine Learning",04-12-25,PhD
Business Development (Sales),Zeppstr,Bangalore,Immediately,5,6000,No,Hybrid,Urban,Research,"Excel, Java, Python, SQL, Data Analysis",26-10-25,MCA
Social Media Marketing,Marcamor Consulting,Hyderabad,Immediately,5,5000,Yes,Onsite,Rural,Design,"Digital Marketing, Excel, Java",22-09-25,BTech
Marketing Specialist,UrjaBox Power Technologies Private Limited,Delhi,Immediately,5,10000,Yes,Remote,Rural,Design,"Digital Marketing, Machine Learning, C++",16-09-25,BCA
E-commerce Operations,A Big Indian Story,Pune,Immediately,5,10000,No,Remote,Urban,Marketing,"Machine Learning, Excel, Data Analysis",02-12-25,MTech
Video Making/Editing,Wherehouse.io,Gurgaon,Immediately,5,5000,No,Onsite,Urban,Data Analyst,"HTML/CSS, Python, C++, Digital Marketing",25-11-25,BCA
Social Media Marketing,Stax Media,Delhi,Immediately,5,10000,No,Onsite,Rural,HR,"Communication, Project Management, C++, Java",11-09-25,PhD
Marketing,Rizzle,Hyderabad,Immediately,5,10000,Yes,Remote,Rural,Data Scientist,"C++, Digital Marketing, Machine Learning, SQL, Project Management",01-11-25,MCA
Search Engine Optimization (SEO),Zeppstr,Bangalore,Immediately,5,5000,No,Hybrid,Rural,HR,"Machine Learning, Excel, SQL, Digital Marketing, C++",20-09-25,BSc
EXPO - Project Coordination,Audyogik Vyavsay Prashikshan Va Margdarshan Sanstha,Mumbai,Immediately,5,3000,No,Hybrid,Rural,Software Development,"Project Management, SQL, Python, C++, Machine Learning",13-10-25,BCA
Human Resources (HR),Punt Partners,Mumbai,Immediately,5,10000,No,Hybrid,Rural,HR,"Python, HTML/CSS, Data Analysis, Java",29-09-25,BCA
Social Media Marketing,Ramp Asia,Delhi,Immediately,5,10000,No,Remote,Rural,Research,"Python, Excel, SQL",06-10-25,MBA
Marketing Lead,Recipeat,Bangalore,Immediately,5,12000,No,Onsite,Urban,Design,"Python, HTML/CSS, Machine Learning, Data Analysis, Communication",29-09-25,MTech
Content Writing,GS1India,Delhi,Immediately,5,15000,Yes,Hybrid,Urban,Software Development,"Digital Marketing, Communication, HTML/CSS",20-10-25,BSc
Creative Design,FlytBase Labs,Pune,Immediately,5,25000,No,Onsite,Urban,Data Analyst,"C++, Project Management, Digital Marketing, Excel",30-10-25,BSc
Accounting And Bookkeeping,Shubham Varshney,Meerut,Immediately,5,2000,Yes,Onsite,Rural,Software Development,"Project Management, Communication, Digital Marketing",28-09-25,BSc
Business Development (Sales),Recipeat,Bangalore,Immediately,5,6000,Yes,Onsite,Urban,Data Analyst,"Python, Machine Learning, Communication, Project Management, Data Analysis",28-10-25,MCA
Visual Communication,FlytBase Labs,Pune,Immediately,5,15000,No,Onsite,Urban,Marketing,"Excel, Data Analysis, Machine Learning, HTML/CSS",22-09-25,BTech
Motion Graphics Design,FlytBase Labs,Pune,Immediately,5,25000,No,Hybrid,Urban,Data Scientist,"C++, Java, Python, Digital Marketing, Communication",29-11-25,BCA
Telesales,Trully Capital Fintech Private Limited,Pune,Immediately,5,6000,Yes,Hybrid,Urban,Design,"Excel, Data Analysis, SQL, Project Management",22-09-25,BTech
Human Resources (HR),Marcamor Consulting,Hyderabad,Immediately,5,5000,No,Hybrid,Rural,Data Analyst,"Excel, HTML/CSS, Data Analysis",27-09-25,BSc
Graphic Design,E2E Recycling Business Private Limited,Bangalore,Immediately,5,10000,Yes,Remote,Rural,Finance,"HTML/CSS, Machine Learning, Digital Marketing",23-10-25,BTech
Social Media Marketing,Pepmedia Services,Mumbai,Immediately,5,10000,Yes,Remote,Rural,HR,"SQL, Java, Python, Project Management, Excel",06-10-25,PhD
Social Media Marketing,KathaVersse Media Network Private Limited,Mumbai,Immediately,5,10000,No,Onsite,Urban,HR,"Python, Data Analysis, Excel",30-10-25,MBA
HR,Error Technologies,Hyderabad,Immediately,5,15000,Yes,Onsite,Urban,Data Scientist,"Machine Learning, Digital Marketing, Communication",11-11-25,BSc
Graphic Design,Confluencr,Bangalore,Immediately,5,15000,No,Hybrid,Rural,HR,"Excel, Digital Marketing, SQL",29-10-25,BCA
Content Writing,KathaVersse Media Network Private Limited,Mumbai,Immediately,5,10000,Yes,Onsite,Urban,Research,"Java, Project Management, Machine Learning",21-09-25,MTech
Human Resources (HR),MAG Finserv,Pune,Immediately,5,10000,No,Onsite,Urban,Software Development,"Digital Marketing, Python, SQL",23-10-25,MCA
Content Writing,IRA Consulting,Mumbai,Immediately,5,7500,Yes,Onsite,Rural,Data Analyst,"Java, Communication, HTML/CSS, SQL",20-10-25,BCA
UI/UX Design,Bilateral Solutions Private Limited,Mandi,Immediately,5,12000,No,Hybrid,Rural,HR,"Python, Java, Communication",29-11-25,BSc
Graphic Design,Organic Smokes,Delhi,Immediately,5,8000,Yes,Remote,Rural,Finance,"Python, Digital Marketing, HTML/CSS, Data Analysis",15-10-25,BTech
Graphic Design,Zeppstr,Bangalore,Immediately,5,6000,Yes,Hybrid,Rural,Data Analyst,"Machine Learning, Communication, Python",17-09-25,MBA
E-commerce Operations,Longetivity Labs Private Limited,Chennai,Immediately,5,11000,No,Onsite,Rural,Finance,"Communication, Project Management, Data Analysis",10-11-25,BSc
Embedded & IoT Development,9 Pointers Tech Private Limited,Jaipur,Immediately,5,6000,No,Hybrid,Rural,HR,"C++, Communication, Data Analysis, Python",18-09-25,MTech
Customer Delight,Energy Alternatives India,Chennai,Immediately,5,15000,No,Hybrid,Rural,Marketing,"Excel, SQL, Communication",13-11-25,MTech
Climate Storytelling,Energy Alternatives India,Chennai,Immediately,5,15000,No,Hybrid,Urban,Finance,"Machine Learning, Python, Project Management, C++",22-11-25,BSc
Solid Works 3D Printing,Bilateral Solutions Private Limited,Mandi,Immediately,5,10000,Yes,Onsite,Rural,Research,"C++, Project Management, Machine Learning",22-11-25,BSc
Auditing And Accounting,Zeppstr,Bangalore,Immediately,5,6000,Yes,Onsite,Rural,Data Scientist,"Java, Communication, Excel",27-11-25,MTech
HR Recruitment,SkilloVilla Technologies Private Limited,Bangalore,Immediately,5,20000,No,Remote,Rural,Research,"SQL, HTML/CSS, Python",14-11-25,BCA
Finance,Punt Partners,Delhi,Immediately,6,15000,Yes,Remote,Urban,Data Scientist,"HTML/CSS, Java, C++, Communication, Digital Marketing",30-09-25,MTech
QA Engineering,Ayurveda House Private Limited,Delhi,Immediately,6,10000,No,Remote,Urban,Data Scientist,"C++, Project Management, Python, Data Analysis, Communication",03-12-25,MBA
Subject Matter Expert - Cyber Security,Requin Solutions Private Limited,Jaipur,Immediately,6,10000,Yes,Onsite,Rural,Research,"SQL, Machine Learning, HTML/CSS",25-09-25,MTech
Cyber Security,Internshala,Gurgaon,Immediately,6,18000,Yes,Hybrid,Urban,Design,"SQL, Data Analysis, Python",04-12-25,BTech
Data Entry Executive,Newtral.io,Bangalore,Immediately,6,10000,Yes,Onsite,Rural,Data Analyst,"Excel, Java, C++",12-09-25,BSc
Customer Success,Radical Health-Tech Private Limited,Mumbai,Immediately,6,15000,Yes,Remote,Urban,Design,"Data Analysis, Project Management, Machine Learning, C++, HTML/CSS",16-11-25,BTech
Financial Analysis,Zean Lithos And Company Private Limited,Work From Home,Immediately,6,9000,No,Remote,Rural,Data Analyst,"Data Analysis, Digital Marketing, Excel, SQL, HTML/CSS",17-11-25,MBA
Virtual Volunteering,NayePankh Foundation,Work From Home,Immediately,6,Unpaid,Yes,Hybrid,Rural,Research,"Python, SQL, C++, Communication, HTML/CSS",11-09-25,PhD
Video Making/Editing,Peppermint Communications Private Limited,Ulhasnagar,Immediately,6,15000,No,Remote,Urban,Software Development,"Java, HTML/CSS, Project Management, Data Analysis, Machine Learning",29-11-25,BCA
Subject Matter Expert (SME),House Of Couton Private Limited,Work From Home,Immediately,6,12000,Yes,Remote,Urban,Data Analyst,"Java, Project Management, HTML/CSS, Machine Learning",12-11-25,BTech
Computer Teaching,Sarvam Foundation,Gurgaon,Immediately,6,3000,No,Remote,Rural,Marketing,"Communication, Excel, SQL, HTML/CSS, Java",28-09-25,MTech
Robotics Embedded Engineering,Bilateral Solutions Private Limited,Mandi,Immediately,6,10000,No,Remote,Rural,Data Analyst,"Digital Marketing, SQL, Python, Machine Learning, Data Analysis",01-11-25,BCA
AI Technology,Clipbait Media Private Limited,Bangalore,Immediately,6,10000,Yes,Hybrid,Rural,Design,"Excel, Python, Data Analysis, HTML/CSS",22-11-25,MBA
Equity & Derivatives Trading,SDSR Consultancy Services Private Limited,Kolkata,Immediately,6,10000,No,Hybrid,Urban,Data Scientist,"HTML/CSS, Python, Data Analysis, Java, C++",03-11-25,BTech
IT Infra/Devops,Labchild Solutions,Hyderabad,Immediately,6,2000,Yes,Remote,Urban,Software Development,"Java, Project Management, SQL",20-10-25,BSc
Crowdfunding,InAmigos Foundation,Work From Home,Immediately,6,Unpaid,No,Onsite,Urban,Data Analyst,"Python, Data Analysis, Excel, SQL, C++",09-10-25,MCA
Human Resources (HR),Shubham Varshney,Meerut,Immediately,6,2000,No,Remote,Urban,HR,"Project Management, Communication, SQL",26-10-25,BSc
Business Development(field sales),SaFa Technologies,Bokaro,Immediately,6,4000,No,Remote,Urban,Research,"SQL, Excel, Python",10-10-25,MTech
Business Development (Sales),Edugenskill,Work From Home,Immediately,6,1000,No,Hybrid,Rural,Finance,"Project Management, Digital Marketing, Excel, Machine Learning, SQL",24-10-25,BCA
Sales Consultant,Edugenskill,Work From Home,Immediately,6,1100,No,Remote,Urban,Marketing,"Project Management, Communication, Machine Learning, SQL, Excel",28-09-25,MBA
Business Development (Sales),Edugenskill,Work From Home,Immediately,6,1000,Yes,Onsite,Rural,Design,"Python, Digital Marketing, C++, Data Analysis",21-09-25,MBA
Sales And Marketing,Edugenskill,Work From Home,Immediately,6,1000,Yes,Remote,Urban,Finance,"C++, HTML/CSS, Machine Learning, Project Management, Python",15-10-25,BCA
Sales,Edugenskill,Work From Home,Immediately,6,1000,Yes,Remote,Rural,Software Development,"Project Management, Python, Excel",21-09-25,BTech
Sales,Edugenskill,Work From Home,Immediately,6,1000,No,Hybrid,Urban,HR,"Python, Data Analysis, Excel, Java",04-11-25,BTech
Business Development (Sales),Edugenskill,Work From Home,Immediately,6,1000,Yes,Remote,Rural,Finance,"Python, Java, Project Management, HTML/CSS, Digital Marketing",02-12-25,PhD
Business Development (Sales),Edugenskill,Work From Home,Immediately,6,1000,No,Hybrid,Rural,Research,"Project Management, Excel, Communication, HTML/CSS",28-10-25,MTech
Business Development,Biztegy Analytics,Work From Home,Immediately,6,5000,Yes,Hybrid,Urban,Marketing,"C++, Project Management, Communication",14-09-25,PhD
Sales,Edugenskill,Work From Home,Immediately,6,1000,No,Onsite,Rural,Marketing,"Python, Communication, Data Analysis, Machine Learning",19-11-25,MCA
Sales,Edugenskill,Work From Home,Immediately,6,1000,Yes,Hybrid,Rural,Design,"HTML/CSS, Communication, Digital Marketing",16-11-25,PhD
Fundraising Operations,NayePankh Foundation,Work From Home,Immediately,6,Unpaid,No,Onsite,Rural,Marketing,"Machine Learning, Communication, Python",26-10-25,MCA
Business Development (Sales),Areno Innovations Private Limited,Work From Home,Immediately,6,1000,Yes,Hybrid,Rural,Marketing,"Digital Marketing, Data Analysis, Communication, SQL",07-10-25,MCA
Business Development (Sales),Edugenskill,Work From Home,Immediately,6,1000,No,Hybrid,Urban,Design,"C++, Excel, Python, Machine Learning",01-12-25,BTech
Social Media Research,FlexiFunnels,Dehradun,Immediately,6,10000,No,Remote,Rural,Marketing,"SQL, C++, Project Management, Excel, Python",04-12-25,PhD
Social Media Management,Iksha Labs Private Limited,Gurgaon,Immediately,6,20000,No,Remote,Rural,Data Scientist,"SQL, Python, C++, Excel, Java",23-09-25,MCA
YouTube Creation,Guruji Astro,Jaipur,Immediately,6,7500,Yes,Hybrid,Rural,HR,"Excel, Communication, Project Management",15-10-25,BSc
Search Engine Optimization (SEO),Fabulous Media Private Limited,Gurgaon,Immediately,6,5000,No,Onsite,Urban,HR,"Communication, HTML/CSS, Machine Learning, Java, Python",14-11-25,BSc
Content Writing (Academic),Requin Solutions Private Limited,Jaipur,Immediately,6,8000,Yes,Hybrid,Rural,HR,"SQL, Python, HTML/CSS",18-10-25,MBA
Sales,Investment Ideas,Mumbai,Immediately,6,5000,No,Onsite,Urban,Design,"HTML/CSS, Java, Excel, Data Analysis",18-09-25,MBA
Campus Ambassador,SLPP Consultants Private Limited,Work From Home,Immediately,6,Performance Based,No,Onsite,Rural,Data Analyst,"Communication, SQL, C++, Data Analysis, Digital Marketing",19-10-25,MTech
Voice Over Artist - Marati/Gujarathi/Assame With Editing Skills,Nettv4u,Work From Home,Immediately,6,5000,No,Onsite,Urban,Research,"Machine Learning, Communication, Excel, Java, SQL",03-11-25,MBA
Market Research,9Heaven,Delhi,Immediately,3,3000,Yes,Remote,Urban,HR,"Digital Marketing, SQL, Excel, Data Analysis",28-09-25,BCA
